seed,sigma_pb,reported_integration_error_pb,relative_reported_error,run_path,run_timestamp,runtime_seconds,pack_a_zip_sha256,events,final_h2_count,nonfinal_h2_count,four_momentum_residual_gev,exit_status,classification
12345,0.02349,0.0001364,0.005806726266496381,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_12345/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181156Z_seed12345,20260722T181156Z,26.436423261999153,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
15804,0.02388,0.000139,0.005820770519262982,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_15804/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182440Z_seed15804,20260722T182440Z,26.34790495899506,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
16926,0.02365,0.0001389,0.005873150105708245,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_16926/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181704Z_seed16926,20260722T181704Z,25.41339780799899,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
18859,0.02363,0.0001405,0.0059458315700380866,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_18859/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181547Z_seed18859,20260722T181547Z,26.428264213005605,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
20430,0.02367,0.0001395,0.005893536121673004,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_20430/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181821Z_seed20430,20260722T181821Z,25.6310337649993,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
25099,0.02353,0.0001393,0.005920101997450064,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_25099/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181755Z_seed25099,20260722T181755Z,26.80823291800334,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
27695,0.02368,0.0001406,0.0059375,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_27695/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182119Z_seed27695,20260722T182119Z,26.108975885996188,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
29075,0.02355,0.0002261,0.009600849256900211,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_29075/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182530Z_seed29075,20260722T182530Z,25.230294396998943,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
33422,0.02338,0.0001407,0.006017964071856287,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_33422/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T182414Z_seed33422,20260722T182414Z,25.79884725100419,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
42025,0.0238,0.0001396,0.005865546218487395,/home/fabi/atlas_dihiggs/worktrees/pack_a_mc_20260722T091630Z/scratch/pack_a_seed_mc_20260722T093054Z/worker_seed_42025/pi_ufo_baseline_v1_release_candidate_hotfix1/runs/20260722T181729Z_seed42025,20260722T181729Z,26.8935225919995,58f1e976bc8fd6dcc89f353d68dc85ff70c935164e5d168322b1f8633e2537f6,100,100,0,0.0,0,OK
