sample_id,ctau_mm,decay_configuration,unique_production_events,decay_trials,h2_observations,seed,configured_br,observed_br,proper_length_mean_mm,AA4,AA5,AA6,JSONL_SHA256
fcd9ff83da939385,1000.0,bb,100,1000,2000,900006005,"[{""daughters"":[5,-5],""branching_ratio"":1.0}]","{""-5 5"":2000}",987.7894666374951,PASS,PASS,PASS,193921de22d253b859a0c179a4f35330de1fbf68e6a93d2e18b55eca89792f10
4ad3896b59cb0d92,1000.0,gamma_gamma,100,1000,2000,900006004,"[{""daughters"":[22,22],""branching_ratio"":1.0}]","{""22 22"":2000}",1015.9810572721303,PASS,PASS,PASS,38baf5f2e35f955d992c816521e2f98012d3f90f74a3150ca269e39e6c6d467d
743390d495cb995c,1000.0,mixed,100,1000,2000,900006006,"[{""daughters"":[22,22],""branching_ratio"":0.2},{""daughters"":[5,-5],""branching_ratio"":0.8}]","{""22 22"":415,""-5 5"":1585}",1008.0813678395689,PASS,PASS,PASS,f8ae903e71e783df4a550fa6d0fe73fc77ad53b7e489205654c289d59c0a7378
660021fb118f5f92,1.0,bb,100,1000,2000,900006002,"[{""daughters"":[5,-5],""branching_ratio"":1.0}]","{""-5 5"":2000}",0.987789466637495,PASS,PASS,PASS,315f8419bf774e82d934cb9d9a608eb11fec078f4e2258414bda2e19c5724822
7d6ffaa5822da03f,1.0,gamma_gamma,100,1000,2000,900006001,"[{""daughters"":[22,22],""branching_ratio"":1.0}]","{""22 22"":2000}",1.0159810572721304,PASS,PASS,PASS,6ec3e45818b2e1042901019fc1109228b7d9cc3b576baa3f362b836390b5b950
c50900cc55623ce4,1.0,mixed,100,1000,2000,900006003,"[{""daughters"":[22,22],""branching_ratio"":0.2},{""daughters"":[5,-5],""branching_ratio"":0.8}]","{""22 22"":415,""-5 5"":1585}",1.0080813678395688,PASS,PASS,PASS,e42ff2d1b060523146c69370f2ed31f28c3f549dea289c4f22736f9d9cb54a84
9db01cdd5f1bc783,50000.0,bb,100,1000,2000,900006008,"[{""daughters"":[5,-5],""branching_ratio"":1.0}]","{""-5 5"":2000}",49389.47333187475,PASS,PASS,PASS,83a594599a8fdbdc2eeb677ef5ef4928f7af2b99d688e013e6f37f2af6cf7297
b3f66512c7b91693,50000.0,gamma_gamma,100,1000,2000,900006007,"[{""daughters"":[22,22],""branching_ratio"":1.0}]","{""22 22"":2000}",50799.052863606514,PASS,PASS,PASS,43d89b9a42a7d369d6d40683c61021610e57036ff62a58230a335ad4794a409f
79ba74fb49c2f8c4,50000.0,mixed,100,1000,2000,900006009,"[{""daughters"":[22,22],""branching_ratio"":0.2},{""daughters"":[5,-5],""branching_ratio"":0.8}]","{""22 22"":415,""-5 5"":1585}",50404.06839197844,PASS,PASS,PASS,2e7f967a65a13a754d51066809894badb3601c99963d691703c8a29879c53984
