delta_E_GeV,delta_mass_GeV,delta_pt_GeV,delta_pt_relative,delta_px_GeV,delta_py_GeV,delta_pz_GeV,event,h2_ordinal,mode
0.0,5.684341886080802e-14,-2.842170943040401e-14,-1.846752279861868e-16,-3.552713678800501e-15,-2.842170943040401e-14,-2.842170943040401e-14,27,0,D0
5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,-3.552713678800501e-15,0.0,-1.4210854715202004e-14,27,1,D0
0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,28,0,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,D0
0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,29,0,D0
2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,0.0,-7.105427357601002e-15,0.0,29,1,D0
0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,2.842170943040401e-14,30,0,D0
0.0,0.0,0.0,0.0,-3.552713678800501e-15,-7.105427357601002e-15,0.0,30,1,D0
-5.684341886080802e-14,-1.1368683772161603e-13,-7.105427357601002e-15,-1.7056955097466648e-16,7.105427357601002e-15,0.0,0.0,31,0,D0
0.0,1.4210854715202004e-13,-7.105427357601002e-15,-1.7056955097466648e-16,-7.105427357601002e-15,-3.552713678800501e-15,5.684341886080802e-14,31,1,D0
2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,0.0,0.0,-7.105427357601002e-15,32,0,D0
-2.842170943040401e-14,-2.842170943040401e-14,-1.4210854715202004e-14,-1.7921106744466248e-16,1.4210854715202004e-14,7.105427357601002e-15,0.0,32,1,D0
0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,33,0,D0
0.0,-5.684341886080802e-14,7.105427357601002e-15,1.4366786370680165e-16,7.105427357601002e-15,-3.552713678800501e-15,0.0,33,1,D0
5.684341886080802e-14,1.4210854715202004e-13,0.0,0.0,0.0,0.0,0.0,34,0,D0
0.0,1.4210854715202004e-13,0.0,0.0,0.0,0.0,5.684341886080802e-14,34,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,D0
0.0,-4.547473508864641e-13,5.684341886080802e-14,2.3496839427216197e-16,2.842170943040401e-14,-2.842170943040401e-14,-1.1368683772161603e-13,35,1,D0
0.0,8.526512829121202e-14,0.0,0.0,0.0,-3.552713678800501e-15,-5.684341886080802e-14,36,0,D0
0.0,0.0,-1.4210854715202004e-14,-1.5692533466818565e-16,1.4210854715202004e-14,0.0,3.552713678800501e-15,36,1,D0
-2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,0.0,0.0,3.552713678800501e-15,37,0,D0
0.0,-2.842170943040401e-14,7.105427357601002e-15,1.4950775616886886e-16,0.0,7.105427357601002e-15,-1.4210854715202004e-14,37,1,D0
0.0,-5.684341886080802e-14,2.842170943040401e-14,1.2280108062343475e-16,2.842170943040401e-14,-6.661338147750939e-15,5.684341886080802e-14,38,0,D0
0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,3.552713678800501e-15,38,1,D0
5.684341886080802e-14,1.4210854715202004e-13,7.105427357601002e-15,1.2810841258584228e-16,1.7763568394002505e-15,-7.105427357601002e-15,0.0,39,0,D0
1.1368683772161603e-13,1.4210854715202004e-13,7.105427357601002e-15,1.2810841258584228e-16,0.0,7.105427357601002e-15,-1.1368683772161603e-13,39,1,D0
-2.842170943040401e-14,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,40,0,D0
0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,40,1,D0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0,D0
0.0,-2.842170943040401e-14,0.0,0.0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,41,1,D0
0.0,-2.842170943040401e-14,0.0,0.0,0.0,-1.4210854715202004e-14,2.842170943040401e-14,42,0,D0
0.0,0.0,2.842170943040401e-14,1.683420512274439e-16,-2.842170943040401e-14,-1.4210854715202004e-14,3.552713678800501e-15,42,1,D0
5.684341886080802e-14,8.526512829121202e-14,7.105427357601002e-15,1.664340218687854e-16,-7.105427357601002e-15,-1.7763568394002505e-15,-5.684341886080802e-14,43,0,D0
0.0,0.0,0.0,0.0,0.0,-1.7763568394002505e-15,-2.842170943040401e-14,43,1,D0
