delta_E_GeV,delta_mass_GeV,delta_pt_GeV,delta_pt_relative,delta_px_GeV,delta_py_GeV,delta_pz_GeV,event,h2_ordinal,mode
0.0,5.684341886080802e-14,0.0,0.0,-2.842170943040401e-14,0.0,-5.684341886080802e-14,17,0,D1
0.0,-2.842170943040401e-14,5.684341886080802e-14,1.657767241237773e-16,0.0,-2.842170943040401e-14,0.0,17,1,D1
0.0,-5.684341886080802e-14,1.4210854715202004e-14,2.0763753829997113e-16,-1.4210854715202004e-14,0.0,-5.684341886080802e-14,18,0,D1
0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,18,1,D1
0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,19,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,D1
0.0,-2.842170943040401e-14,-2.842170943040401e-14,-2.1003219072542932e-16,1.4210854715202004e-14,1.4210854715202004e-14,2.842170943040401e-14,20,0,D1
0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,20,1,D1
0.0,0.0,-7.105427357601002e-15,-1.1443828339916528e-16,0.0,7.105427357601002e-15,0.0,21,0,D1
-1.1368683772161603e-13,-5.684341886080801e-13,-1.4210854715202004e-14,-1.5106592797706699e-16,-1.4210854715202004e-14,0.0,0.0,21,1,D1
0.0,0.0,-3.552713678800501e-15,-1.1757366520320139e-16,3.552713678800501e-15,1.7763568394002505e-15,-7.105427357601002e-15,22,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,1,D1
2.842170943040401e-14,0.0,1.4210854715202004e-14,2.4309861224385016e-16,1.4210854715202004e-14,3.552713678800501e-15,0.0,23,0,D1
0.0,-2.842170943040401e-14,1.4210854715202004e-14,1.7995189543996412e-16,-1.4210854715202004e-14,-7.105427357601002e-15,-2.842170943040401e-14,23,1,D1
-1.1368683772161603e-13,-8.810729923425242e-13,0.0,0.0,-7.105427357601002e-15,0.0,1.1368683772161603e-13,24,0,D1
-5.684341886080802e-14,-5.684341886080802e-14,0.0,0.0,0.0,0.0,-5.684341886080802e-14,24,1,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,D1
0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0,2.842170943040401e-14,25,1,D1
5.684341886080802e-14,1.4210854715202004e-13,-2.842170943040401e-14,-1.535652129089797e-16,0.0,2.842170943040401e-14,0.0,26,0,D1
0.0,0.0,-7.105427357601002e-15,-1.2945213361278216e-16,-1.0658141036401503e-14,0.0,0.0,26,1,D1
-1.1368683772161603e-13,-2.8421709430404007e-13,0.0,0.0,0.0,-2.842170943040401e-14,0.0,27,0,D1
0.0,-8.526512829121202e-14,2.842170943040401e-14,1.8773025880750382e-16,1.4210854715202004e-14,-2.842170943040401e-14,2.842170943040401e-14,27,1,D1
5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,28,0,D1
0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,28,1,D1
0.0,-2.842170943040401e-14,2.842170943040401e-14,2.0399400066221067e-16,2.842170943040401e-14,-3.9968028886505635e-15,0.0,29,0,D1
0.0,-5.684341886080802e-14,2.842170943040401e-14,1.8148291282359255e-16,0.0,-1.4210854715202004e-14,2.842170943040401e-14,29,1,D1
5.684341886080802e-14,5.684341886080802e-14,7.105427357601002e-15,1.3448238925691108e-16,-3.552713678800501e-15,0.0,2.842170943040401e-14,30,0,D1
1.1368683772161603e-13,4.547473508864641e-13,7.105427357601002e-15,1.2766922611739446e-16,4.440892098500626e-15,-7.105427357601002e-15,0.0,30,1,D1
0.0,0.0,7.105427357601002e-15,1.5601062648415855e-16,-7.105427357601002e-15,-1.7763568394002505e-15,0.0,31,0,D1
0.0,-1.4210854715202004e-13,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,-5.684341886080802e-14,31,1,D1
0.0,-2.842170943040401e-14,2.842170943040401e-14,1.5114294461464696e-16,2.842170943040401e-14,0.0,0.0,32,0,D1
0.0,0.0,1.4210854715202004e-14,1.5541872080666387e-16,1.4210854715202004e-14,2.6645352591003757e-15,0.0,32,1,D1
0.0,0.0,0.0,0.0,0.0,1.9984014443252818e-15,7.105427357601002e-15,33,0,D1
0.0,0.0,-1.4210854715202004e-14,-2.032337482748011e-16,-1.4210854715202004e-14,0.0,0.0,33,1,D1
0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,34,0,D1
0.0,-5.684341886080802e-14,0.0,0.0,-7.105427357601002e-15,0.0,-5.684341886080802e-14,34,1,D1
-5.684341886080802e-14,-1.7053025658242404e-13,0.0,0.0,0.0,0.0,0.0,35,0,D1
1.1368683772161603e-13,2.8421709430404007e-13,0.0,0.0,0.0,-2.842170943040401e-14,1.1368683772161603e-13,35,1,D1
5.684341886080802e-14,1.4210854715202004e-13,7.105427357601002e-15,1.1238767443920042e-16,7.105427357601002e-15,8.881784197001252e-16,0.0,36,0,D1
0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,36,1,D1
0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,3.552713678800501e-15,37,0,D1
5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,37,1,D1
0.0,0.0,0.0,0.0,0.0,2.220446049250313e-15,0.0,38,0,D1
0.0,-8.526512829121202e-14,5.684341886080802e-14,2.48114758042126e-16,-5.684341886080802e-14,0.0,0.0,38,1,D1
0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,39,0,D1
0.0,-7.389644451905042e-13,0.0,0.0,7.105427357601002e-15,1.4210854715202004e-14,-1.1368683772161603e-13,39,1,D1
0.0,0.0,0.0,0.0,0.0,-2.6645352591003757e-15,7.105427357601002e-15,40,0,D1
-5.684341886080802e-14,-1.1368683772161603e-13,0.0,0.0,0.0,-2.220446049250313e-15,-1.4210854715202004e-14,40,1,D1
0.0,0.0,2.842170943040401e-14,1.8360671232905356e-16,0.0,-3.552713678800501e-15,0.0,41,0,D1
0.0,-5.684341886080802e-14,0.0,0.0,5.684341886080802e-14,2.842170943040401e-14,0.0,41,1,D1
0.0,0.0,-2.842170943040401e-14,-1.764789631194286e-16,-2.842170943040401e-14,0.0,2.842170943040401e-14,42,0,D1
0.0,0.0,-2.842170943040401e-14,-1.695274915355114e-16,2.842170943040401e-14,0.0,-3.552713678800501e-15,42,1,D1
0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,43,0,D1
-5.684341886080802e-14,-8.526512829121202e-14,7.105427357601002e-15,1.7960119120852555e-16,7.105427357601002e-15,-7.105427357601002e-15,0.0,43,1,D1
5.684341886080802e-14,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,44,0,D1
2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,7.105427357601002e-15,0.0,0.0,44,1,D1
0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-15,0.0,45,0,D1
5.684341886080802e-14,8.526512829121202e-14,0.0,0.0,0.0,-3.552713678800501e-15,2.842170943040401e-14,45,1,D1
0.0,-2.842170943040401e-14,0.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,46,0,D1
5.684341886080802e-14,5.684341886080802e-14,2.842170943040401e-14,2.0133327287163177e-16,-1.4210854715202004e-14,0.0,0.0,46,1,D1
0.0,-2.842170943040401e-14,0.0,0.0,0.0,0.0,-2.842170943040401e-14,47,0,D1
-5.684341886080802e-14,-1.1368683772161603e-13,0.0,0.0,0.0,0.0,2.842170943040401e-14,47,1,D1
0.0,0.0,0.0,0.0,0.0,-5.329070518200751e-15,0.0,48,0,D1
-1.1368683772161603e-13,-1.1368683772161603e-13,0.0,0.0,-8.326672684688674e-16,0.0,5.684341886080802e-14,48,1,D1
0.0,0.0,3.552713678800501e-15,2.1150151262796649e-16,0.0,1.7763568394002505e-15,-7.105427357601002e-15,49,0,D1
0.0,0.0,5.684341886080802e-14,1.5944798397276214e-16,-5.684341886080802e-14,1.4210854715202004e-14,0.0,49,1,D1
0.0,2.842170943040401e-14,-2.842170943040401e-14,-1.2185786470643857e-16,2.842170943040401e-14,-4.440892098500626e-16,0.0,50,0,D1
5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0,7.105427357601002e-15,50,1,D1
0.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,51,0,D1
2.842170943040401e-14,2.842170943040401e-14,7.105427357601002e-15,1.166412911122981e-16,0.0,7.105427357601002e-15,0.0,51,1,D1
0.0,2.842170943040401e-14,-2.842170943040401e-14,-1.322847848462907e-16,0.0,-2.842170943040401e-14,0.0,52,0,D1
0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,52,1,D1
0.0,0.0,-7.105427357601002e-15,-1.9190341641526966e-16,7.105427357601002e-15,0.0,-7.105427357601002e-15,53,0,D1
-2.842170943040401e-14,-2.842170943040401e-14,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,-3.552713678800501e-15,53,1,D1
0.0,-5.684341886080802e-14,3.552713678800501e-15,1.5022747646057369e-16,3.552713678800501e-15,-2.6645352591003757e-15,-5.684341886080802e-14,54,0,D1
-5.684341886080802e-14,-1.7053025658242404e-13,0.0,0.0,0.0,-1.7763568394002505e-15,-5.684341886080802e-14,54,1,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,0,D1
0.0,0.0,-1.4210854715202004e-14,-1.191122503827887e-16,1.4210854715202004e-14,8.881784197001252e-15,-2.842170943040401e-14,55,1,D1
0.0,0.0,0.0,0.0,0.0,1.5543122344752192e-15,0.0,56,0,D1
0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,56,1,D1
0.0,0.0,0.0,0.0,1.4210854715202004e-14,-1.4210854715202004e-14,-7.105427357601002e-15,57,0,D1
2.842170943040401e-14,2.842170943040401e-14,7.105427357601002e-15,2.770694287260567e-16,-7.105427357601002e-15,-5.329070518200751e-15,2.842170943040401e-14,57,1,D1
0.0,8.526512829121202e-14,0.0,0.0,0.0,0.0,-5.684341886080802e-14,58,0,D1
0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,58,1,D1
-2.842170943040401e-14,-2.842170943040401e-14,1.4210854715202004e-14,1.7189364058794383e-16,0.0,-1.4210854715202004e-14,-2.842170943040401e-14,59,0,D1
0.0,0.0,-1.4210854715202004e-14,-3.0415249174307984e-16,3.552713678800501e-15,-1.4210854715202004e-14,-1.5543122344752192e-15,59,1,D1
0.0,-1.1368683772161603e-13,0.0,0.0,0.0,8.881784197001252e-16,5.684341886080802e-14,60,0,D1
0.0,-2.8421709430404007e-13,7.105427357601002e-15,1.462898223697225e-16,-7.105427357601002e-15,0.0,1.1368683772161603e-13,60,1,D1
-5.684341886080802e-14,-2.8421709430404007e-13,1.4210854715202004e-14,1.6626645851508722e-16,1.4210854715202004e-14,0.0,-5.684341886080802e-14,61,0,D1
0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,61,1,D1
0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,62,0,D1
5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,5.684341886080802e-14,62,1,D1
0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,63,0,D1
0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0,63,1,D1
0.0,0.0,1.4210854715202004e-14,1.6794936788892574e-16,-1.4210854715202004e-14,1.7763568394002505e-15,-7.105427357601002e-15,64,0,D1
0.0,2.842170943040401e-14,-1.4210854715202004e-14,-2.0884533038664204e-16,-1.4210854715202004e-14,0.0,-2.842170943040401e-14,64,1,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,0,D1
0.0,0.0,1.7763568394002505e-15,2.3618920417170906e-16,-1.1102230246251565e-16,1.7763568394002505e-15,0.0,65,1,D1
-5.684341886080802e-14,-5.684341886080802e-14,-2.842170943040401e-14,-1.3895079582963017e-16,2.842170943040401e-14,-2.842170943040401e-14,0.0,66,0,D1
0.0,0.0,-5.684341886080802e-14,-2.0761566737411663e-16,0.0,2.842170943040401e-14,3.552713678800501e-15,66,1,D1
0.0,0.0,0.0,0.0,8.881784197001252e-15,0.0,0.0,67,0,D1
0.0,-2.842170943040401e-14,2.842170943040401e-14,1.7174853572881459e-16,0.0,-2.842170943040401e-14,0.0,67,1,D1
-5.684341886080802e-14,-1.1368683772161603e-13,-1.4210854715202004e-14,-1.7055208666656318e-16,1.4210854715202004e-14,0.0,0.0,68,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,1,D1
0.0,3.126388037344441e-13,0.0,0.0,0.0,0.0,1.1368683772161603e-13,69,0,D1
5.684341886080802e-14,1.4210854715202004e-13,-2.842170943040401e-14,-1.3397931133790618e-16,-1.4210854715202004e-14,2.842170943040401e-14,0.0,69,1,D1
0.0,0.0,-2.842170943040401e-14,-2.153592074243108e-16,0.0,-1.4210854715202004e-14,0.0,70,0,D1
0.0,1.4210854715202004e-13,-2.842170943040401e-14,-1.9051076365134084e-16,-1.4210854715202004e-14,1.4210854715202004e-14,5.684341886080802e-14,70,1,D1
-5.684341886080802e-14,-8.526512829121202e-14,0.0,0.0,0.0,0.0,0.0,71,0,D1
0.0,0.0,-2.842170943040401e-14,-1.24578073652525e-16,2.842170943040401e-14,2.842170943040401e-14,0.0,71,1,D1
-1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,1.1368683772161603e-13,72,0,D1
0.0,0.0,2.842170943040401e-14,1.6172333210968578e-16,-8.881784197001252e-16,2.842170943040401e-14,0.0,72,1,D1
0.0,5.684341886080802e-14,-2.842170943040401e-14,-1.7205220854729906e-16,-9.43689570931383e-16,2.842170943040401e-14,0.0,73,0,D1
-5.684341886080802e-14,-5.684341886080802e-14,0.0,0.0,0.0,0.0,5.684341886080802e-14,73,1,D1
0.0,-2.842170943040401e-14,0.0,0.0,7.105427357601002e-15,-1.4210854715202004e-14,0.0,74,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,74,1,D1
0.0,-2.842170943040401e-14,0.0,0.0,0.0,0.0,1.4210854715202004e-14,75,0,D1
0.0,1.4210854715202004e-13,-1.4210854715202004e-14,-2.9593464936370737e-16,1.4210854715202004e-14,3.552713678800501e-15,-5.684341886080802e-14,75,1,D1
0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,76,0,D1
0.0,-2.842170943040401e-14,0.0,0.0,0.0,0.0,-2.842170943040401e-14,76,1,D1
-5.684341886080802e-14,-1.1368683772161603e-13,-2.842170943040401e-14,-2.7320315004619984e-16,-1.4210854715202004e-14,1.4210854715202004e-14,0.0,77,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,1,D1
0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,78,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,1,D1
0.0,2.842170943040401e-14,-2.842170943040401e-14,-2.0748027922555683e-16,2.842170943040401e-14,3.552713678800501e-15,2.842170943040401e-14,79,0,D1
0.0,0.0,-2.842170943040401e-14,-2.053966080905355e-16,-2.842170943040401e-14,-1.4210854715202004e-14,0.0,79,1,D1
0.0,0.0,2.842170943040401e-14,2.1217129321021388e-16,7.105427357601002e-15,0.0,0.0,80,0,D1
-5.684341886080802e-14,-8.526512829121202e-14,0.0,0.0,3.552713678800501e-15,0.0,-2.842170943040401e-14,80,1,D1
0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,2.842170943040401e-14,81,0,D1
0.0,2.842170943040401e-14,0.0,0.0,0.0,-7.105427357601002e-15,-1.4210854715202004e-14,81,1,D1
2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,82,0,D1
0.0,0.0,7.105427357601002e-15,1.1545582296141531e-16,-7.105427357601002e-15,0.0,0.0,82,1,D1
0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.0,83,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,1,D1
-2.842170943040401e-14,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,84,0,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,1,D1
0.0,-2.8421709430404007e-13,2.842170943040401e-14,3.150238301197105e-16,-1.4210854715202004e-14,1.4210854715202004e-14,1.1368683772161603e-13,85,0,D1
0.0,8.526512829121202e-14,0.0,0.0,3.552713678800501e-15,0.0,-5.684341886080802e-14,85,1,D1
0.0,0.0,7.105427357601002e-15,1.1742082472311203e-16,7.105427357601002e-15,0.0,0.0,86,0,D1
0.0,-2.842170943040401e-14,0.0,0.0,0.0,0.0,-2.842170943040401e-14,86,1,D1
0.0,2.842170943040401e-14,-3.552713678800501e-15,-1.338013674826464e-16,3.552713678800501e-15,-1.7763568394002505e-15,7.105427357601002e-15,87,0,D1
0.0,-2.842170943040401e-14,1.4210854715202004e-14,1.4934849729760275e-16,0.0,1.4210854715202004e-14,-2.842170943040401e-14,87,1,D1
-1.1368683772161603e-13,-3.694822225952521e-13,0.0,0.0,-1.1368683772161603e-13,0.0,-5.684341886080802e-14,88,0,D1
-2.2737367544323206e-13,0.0,-1.1368683772161603e-13,-1.3108951393700193e-16,5.684341886080802e-14,-1.1368683772161603e-13,-2.2737367544323206e-13,88,1,D1
0.0,8.526512829121202e-14,0.0,0.0,5.684341886080802e-14,2.842170943040401e-14,0.0,89,0,D1
0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,89,1,D1
0.0,1.7337242752546445e-12,0.0,0.0,7.105427357601002e-15,0.0,2.2737367544323206e-13,90,0,D1
5.684341886080802e-14,1.4210854715202004e-13,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,90,1,D1
0.0,-2.842170943040401e-14,1.4210854715202004e-14,1.9065919676037819e-16,-1.4210854715202004e-14,0.0,0.0,91,0,D1
0.0,0.0,4.263256414560601e-14,4.59931706293476e-16,7.105427357601002e-15,2.842170943040401e-14,0.0,91,1,D1
0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,92,0,D1
-2.842170943040401e-14,0.0,0.0,0.0,0.0,-3.552713678800501e-15,7.105427357601002e-15,92,1,D1
1.1368683772161603e-13,5.968558980384842e-13,1.4210854715202004e-14,1.4203698580968105e-16,0.0,1.4210854715202004e-14,1.1368683772161603e-13,93,0,D1
0.0,0.0,-1.4210854715202004e-14,-1.8767290654755103e-16,-1.0658141036401503e-14,0.0,2.842170943040401e-14,93,1,D1
0.0,2.3305801732931286e-12,-5.684341886080802e-14,-2.213315771688703e-16,0.0,-5.684341886080802e-14,2.2737367544323206e-13,94,0,D1
0.0,3.126388037344441e-13,-1.4210854715202004e-14,-1.269200747033032e-16,0.0,2.842170943040401e-14,1.1368683772161603e-13,94,1,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0,D1
1.1368683772161603e-13,5.684341886080802e-14,1.4210854715202004e-14,2.4913347298007864e-16,-7.105427357601002e-15,-1.0658141036401503e-14,5.684341886080802e-14,95,1,D1
0.0,0.0,7.105427357601002e-15,1.520590508714083e-16,-7.105427357601002e-15,-2.220446049250313e-16,0.0,96,0,D1
0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,1.4210854715202004e-14,96,1,D1
0.0,-2.842170943040401e-14,0.0,0.0,1.4210854715202004e-14,0.0,3.552713678800501e-15,97,0,D1
0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,97,1,D1
0.0,-2.8421709430404007e-13,0.0,0.0,-2.842170943040401e-14,0.0,-1.1368683772161603e-13,98,0,D1
0.0,2.842170943040401e-14,0.0,0.0,0.0,0.0,2.842170943040401e-14,98,1,D1
5.684341886080802e-14,5.684341886080802e-14,1.4210854715202004e-14,1.5592091652718926e-16,1.4210854715202004e-14,7.105427357601002e-15,0.0,99,0,D1
-5.684341886080802e-14,-5.684341886080802e-14,0.0,0.0,0.0,0.0,-5.684341886080802e-14,99,1,D1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,D1
-5.684341886080802e-14,-2.842170943040401e-14,-5.684341886080802e-14,-1.6513991371808195e-16,-2.842170943040401e-14,-5.684341886080802e-14,0.0,100,1,D1
