sample_id,ctau_mm,channels,decay_trials,unique_input_events,replicas_per_input_event,aa4,aa5,aa6
fcd9ff83da939385,1000.0,"{'5 -5': 2000}",1000,100,10,PASS,PASS,PASS
4ad3896b59cb0d92,1000.0,"{'22 22': 2000}",1000,100,10,PASS,PASS,PASS
743390d495cb995c,1000.0,"{'22 22': 415, '5 -5': 1585}",1000,100,10,PASS,PASS,PASS
660021fb118f5f92,1.0,"{'5 -5': 2000}",1000,100,10,PASS,PASS,PASS
7d6ffaa5822da03f,1.0,"{'22 22': 2000}",1000,100,10,PASS,PASS,PASS
c50900cc55623ce4,1.0,"{'22 22': 415, '5 -5': 1585}",1000,100,10,PASS,PASS,PASS
9db01cdd5f1bc783,50000.0,"{'5 -5': 2000}",1000,100,10,PASS,PASS,PASS
b3f66512c7b91693,50000.0,"{'22 22': 2000}",1000,100,10,PASS,PASS,PASS
79ba74fb49c2f8c4,50000.0,"{'22 22': 415, '5 -5': 1585}",1000,100,10,PASS,PASS,PASS
